"cbscode","gemeente","adres","pc","plaats"
14,Groningen,Postbus 30026,"9700RM",Groningen
34,Almere,Postbus 200,"1300AE",Almere
37,Stadskanaal,Postbus 140,"9500AC",Stadskanaal
47,Veendam,Postbus 20004,"9640PA",Veendam
50,Zeewolde,Postbus 1,"3890AA",Zeewolde
59,Achtkarspelen,Postbus 2,"9285ZV",Buitenpost
60,Ameland,Postbus 22,"9160AA",Hollum-Ameland
72,Harlingen,Postbus 10000,"8860HA",Harlingen
74,Heerenveen,Postbus 15000,"8440GA",Heerenveen
80,Leeuwarden,Postbus 21000,"8900JA",Leeuwarden
85,Ooststellingwerf,Postbus 38,"8430AA",Oosterwolde
86,Opsterland,Postbus 10000,"9244ZP",Beetsterzwaag
88,Schiermonnikoog,Postbus 20,"9166ZP",Schiermonnikoog
90,Smallingerland,Postbus 10000,"9200HA",Drachten
93,Terschelling,Postbus 14,"8880AA",West-Terschelling
96,Vlieland,Postbus 10,"8899ZN",Vlieland
98,Weststellingwerf,Postbus 60,"8470AB",Wolvega
106,Assen,Postbus 30018,"9400RA",Assen
109,Coevorden,Postbus 2,"7740AA",Coevorden
114,Emmen,Postbus 30001,"7800RA",Emmen
118,Hoogeveen,Postbus 20000,"7900PA",Hoogeveen
119,Meppel,Postbus 501,"7940AM",Meppel
141,Almelo,Postbus 5100,"7600GC",Almelo
147,Borne,Postbus 200,"7620AE",Borne
148,Dalfsen,Postbus 35,"7720AA",Dalfsen
150,Deventer,Postbus 5000,"7400GC",Deventer
153,Enschede,Postbus 20,"7500AA",Enschede
158,Haaksbergen,Postbus 102,"7480AC",Haaksbergen
160,Hardenberg,Postbus 500,"7770BA",Hardenberg
163,Hellendoorn,Postbus 200,"7440AE",Nijverdal
164,Hengelo (O),Postbus 18,"7550AA",Hengelo (O)
166,Kampen,Postbus 5009,"8260GA",Kampen
168,Losser,Postbus 90,"7580AB",Losser
171,Noordoostpolder,Postbus 155,"8300AD",Emmeloord
173,Oldenzaal,Postbus 354,"7570AJ",Oldenzaal
175,Ommen,Postbus 500,"7770BA",Hardenberg
177,Raalte,Postbus 140,"8100AC",Raalte
180,Staphorst,Postbus 2,"7950AA",Staphorst
183,Tubbergen,Postbus 30,"7650AA",Tubbergen
184,Urk,Postbus 77,"8320AB",Urk
189,Wierden,Postbus 43,"7640AA",Wierden
193,Zwolle,Postbus 10007,"8000GA",Zwolle
197,Aalten,Postbus 119,"7120AC",Aalten
200,Apeldoorn,Postbus 9033,"7300ES",Apeldoorn
202,Arnhem,Postbus 9029,"6800EL",Arnhem
203,Barneveld,Postbus 63,"3770AB",Barneveld
209,Beuningen,Postbus 14,"6640AA",Beuningen
213,Brummen,Postbus 5,"6970AA",Brummen
214,Buren,Postbus 23,"4020BA",Maurik
216,Culemborg,Postbus 136,"4100AC",Culemborg
221,Doesburg,Postbus 100,"6980AC",Doesburg
225,Druten,Postbus 1,"6650AA",Druten
226,Duiven,Postbus 6,"6920AA",Duiven
228,Ede,Postbus 9022,"6710HK",Ede
230,Elburg,Postbus 70,"8080AB",Elburg
232,Epe,Postbus 600,"8160AP",Epe
233,Ermelo,Postbus 500,"3850AM",Ermelo
243,Harderwijk,Postbus 149,"3840AC",Harderwijk
244,Hattem,Postbus 93,"8050AB",Hattem
246,Heerde,Postbus 175,"8180AD",Heerde
252,Heumen,Postbus 200,"6580AZ",Malden
