gem.code;Naam;Adres;Postcode;Plaats
518;s-Gravenhage;Postbus 12620;2500 DL;'s-Gravenhage
796;s-Hertogenbosch;Postbus 12345;5200 GZ;'s-Hertogenbosch
1680;Aa en Hunze;Postbus 93;9460 AB;Gieten
738;Aalburg;Postbus 40;4260 AA;Wijk en Aalburg
358;Aalsmeer;Postbus 253;1430 AG;Aalsmeer
197;Aalten;Postbus 119;7120 AC;Aalten
59;Achtkarspelen;Postbus 2;9285 ZV;Buitenpost
482;Alblasserdam;Postbus 2;2950 AA;Alblasserdam
613;Albrandswaard;Postbus 1000;3160 GA;Rhoon
361;Alkmaar;Postbus 53;1800 BC;Alkmaar
141;Almelo;Postbus 5100;7600 GC;Almelo
34;Almere;Postbus 200;1300 AE;Almere
484;Alphen aan den Rijn;Postbus 13;2400 AA;Alphen aan den Rijn
1723;Alphen-Chaam;Postbus 3;5130 AA;Alphen
60;Ameland;Postbus 22;9160 AA;Hollum-Ameland
307;Amersfoort;Postbus 4000;3800 EA;Amersfoort
362;Amstelveen;Postbus 4;1180 BA;Amstelveen
363;Amsterdam;Postbus 2752;1000 CT;Amsterdam
200;Apeldoorn;Postbus 9033;7300 ES;Apeldoorn
3;Appingedam;Postbus 15;9900 AA;Appingedam
202;Arnhem;Postbus 9029;6800 EL;Arnhem
106;Assen;Postbus 30018;9400 RA;Assen
743;Asten;Postbus 290;5720 AG;Asten
744;Baarle-Nassau;Postbus 105;5110 AC;Baarle-Nassau
308;Baarn;Postbus 1003;3740 BA;Baarn
489;Barendrecht;Postbus 501;2990 EA;Barendrecht
203;Barneveld;Postbus 63;3770 AB;Barneveld
5;Bedum;Postbus 38;9780 AA;Bedum
888;Beek;Postbus 20;6190 AA;Beek
370;Beemster;Postbus 7;1462 ZG;Middenbeemster
889;Beesel;Postbus 4750;5953 ZK;Reuver
7;Bellingwedde;Hoofdweg 2;9698 AE;Wedde
1945;Berg en Dal;Postbus 20;6560 AA;Groesbeek
1724;Bergeijk;Postbus 10000;5570 GA;Bergeijk
893;Bergen (L);Postbus 140;5854 ZJ;Bergen (L)
373;Bergen (NH);Postbus 175;1860 AD;Bergen (NH)
748;Bergen op Zoom;Postbus 35;4600 AA;Bergen op Zoom
1859;Berkelland;Postbus 200;7270 HA;Borculo
1721;Bernheze;Postbus 19;5384 ZG;Heesch
753;Best;Postbus 50;5680 AB;Best
209;Beuningen;Postbus 14;6640 AA;Beuningen
375;Beverwijk;Postbus 450;1940 AL;Beverwijk
585;Binnenmaas;Postbus 5455;3299 ZH;Maasdam
1728;Bladel;Postbus 11;5530 AA;Bladel
376;Blaricum;Postbus 71;3755 ZH;Eemnes
377;Bloemendaal;Postbus 201;2050 AE;Overveen
1901;Bodegraven-Reeuwijk;Postbus 401;2410 AK;Bodegraven
755;Boekel;Postbus 99;5427 ZH;Boekel
1681;Borger-Odoorn;Postbus 3;7875 ZG;Exloo
147;Borne;Postbus 200;7620 AE;Borne
654;Borsele;Postbus 1;4450 AA;Heinkenszand
756;Boxmeer;Postbus 450;5830 AL;Boxmeer
757;Boxtel;Postbus 10000;5280 DA;Boxtel
758;Breda;Postbus 90156;4800 RH;Breda
501;Brielle;Postbus 101;3230 AC;Brielle
1876;Bronckhorst;Postbus 200;7255 ZJ;Hengelo (Gld)
213;Brummen;Postbus 5;6970 AA;Brummen
899;Brunssum;Postbus 250;6440 AG;Brunssum
312;Bunnik;Postbus 5;3980 CA;Bunnik
313;Bunschoten;Postbus 200;3750 GE;Bunschoten
214;Buren;Postbus 23;4020 BA;Maurik
502;Capelle aan den IJssel;Postbus 70;2900 AB;Capelle aan den IJssel
383;Castricum;Postbus 1301;1900 BH;Castricum
109;Coevorden;Postbus 2;7740 AA;Coevorden
1706;Cranendonck;Postbus 2090;6020 AB;Budel
611;Cromstrijen;Postbus 7400;3280 AE;Numansdorp
1684;Cuijk;Postbus 10001;5430 DA;Cuijk
216;Culemborg;Postbus 136;4100 AC;Culemborg
148;Dalfsen;Postbus 35;7720 AA;Dalfsen
1891;Dantumadiel;Postbus 22;9104 ZG;Damwâld
310;De Bilt;Postbus 300;3720 AH;Bilthoven
1940;De Fryske Marren;Postbus 101;8500 AC;Joure
1663;De Marne;Postbus 11;9965 ZG;Leens
736;De Ronde Venen;Postbus 250;3640 AG;Mijdrecht
1690;De Wolden;Postbus 20;7920 AA;Zuidwolde
503;Delft;Postbus 78;2600 ME;Delft
10;Delfzijl;Postbus 20000;9930 PA;Delfzijl
400;Den Helder;Postbus 36;1780 AA;Den Helder
762;Deurne;Postbus 3;5750 AA;Deurne
150;Deventer;Postbus 5000;7400 GC;Deventer
