"Type","Type kort","Actie","Inzage","Mutaties","Verwijderen"
,,,,,
"Beheer","Beheer","Parameters","x","x","x"
"Beheer","Beheer","Log","x","x","x"
"Beheer","Beheer","Gebruikers","x","x","x"
"Beheer","Beheer","Onderhoud","x","x","x"
"Beheer","Beheer","Profielen","x","x","x"
"Beheer","Beheer","Licentie","x","x","x"
"Beheer","Beheer","Protocollering","x","x","x"
"Beheer","Beheer","Documenten","x","x","x"
"Beheer","Beheer","Locatie","x","x","x"
"Beheer","Beheer","Kassa","x","x","x"
"Beheer","Beheer","Logbestanden","x","x","x"
,,,,,
"Basistabel","Basistabel","Huwelijkslocaties","x","x","x"
"Basistabel","Basistabel","Huwelijksambtenaren","x","x","x"
"Basistabel","Basistabel","Kennisbankgegevens","x","x","x"
,,,,,
"Hoofdscherm","Hoofd","Zoeken","x",,
"Hoofdscherm","Hoofd","Kassa","x",,
"Hoofdscherm","Hoofd","Zakenregister","x",,
"Hoofdscherm","Hoofd","Gemeentelijk","x",,
"Hoofdscherm","Hoofd","GBA-V","x",,
"Hoofdscherm","Hoofd","BRP","x",,
"Hoofdscherm","Hoofd","Woningkaart","x",,
"Hoofdscherm","Hoofd","Verificatievraag","x",,
,,,,,
"Zaak","Zaak","Afstamming","x","x","x"
"Zaak","Zaak","Overlijden","x","x","x"
"Zaak","Zaak","Huwelijk/GPS","x","x","x"
"Zaak","Zaak","Document","x","x","x"
"Zaak","Zaak","GPK","x","x","x"
"Zaak","Zaak","Naamgebruik","x","x","x"
"Zaak","Zaak","Reisdocument","x","x","x"
"Zaak","Zaak","Rijbewijs","x","x","x"
"Zaak","Zaak","Terugmelding","x","x","x"
"Zaak","Zaak","Verstrekkingsbeperking","x","x","x"
"Zaak","Zaak","VOG","x","x","x"
"Zaak","Zaak","Verhuizing","x","x","x"
,,,,,
"Optie","Optie","Identificatie","x",,
"Optie","Optie","Contactgegevens","x","x","x"
"Optie","Optie","Aantekeningen","x","x","x"
"Optie","Optie","Kaart","x",,
"Optie","Optie","Protocollering","x",,
"Optie","Optie","Woningkaart","x",,
,,,,,
"Persoonslijst","PL","Overzicht","x",,
"Persoonslijst","PL","Persoon","x",,
"Persoonslijst","PL","Ouders","x",,
"Persoonslijst","PL","Nationaliteit","x",,
"Persoonslijst","PL","Huwelijk/GPS","x",,
"Persoonslijst","PL","Overlijden","x",,
"Persoonslijst","PL","Inschrijving","x",,
"Persoonslijst","PL","Verblijfplaats","x",,
"Persoonslijst","PL","Kind","x",,
"Persoonslijst","PL","Verblijfstitel","x",,
"Persoonslijst","PL","Gezagsverhouding","x",,
"Persoonslijst","PL","Reisdocument","x",,
"Persoonslijst","PL","Kiesrecht","x",,
"Persoonslijst","PL","Afn. Indicaties","x",,
"Persoonslijst","PL","Rijbewijs","x",,
"Persoonslijst","PL","Kladblok (oud)","x",,
"Persoonslijst","PL","Lokale afnemer indicaties","x",,
"Persoonslijst","PL","Onderzoeksgegevens","x",,
