"GBA-Nationaliteitentabel (tabel 32)",,"GBA-Landentabel (tabel 34)",,"Landnaam in xpert burgerzaken","5. Afstamming uit landeninformatie","ID afstamming","10. Nationaliteit uit landeninformatie","ID Nationaliteit uit landeninformatie","6. Naam uit landeninformatie","ID Naam uit landeninformatie","8. Huwelijk uit landeninformatie","ID Huwelijk uit landeninformatie","11.Legalisatie","ID Legalisatie","4.Meerderjarigheid","ID Meerderjarigheid","7.Overlijden","ID Overlijden","9.Nationaliteitswetten","ID Nationaliteitswetten","13 ambassades","ID ambassades",
"Code","Omschrijving","Code","Omschrijving",,"url","ID","url","ID Nationaliteit uit landeninformatie","url","id ",,"id  ",,"id  ",,,,,,,,,
300,"Afgaanse",6023,"Afganistan","Afghanistan","http://portal.xpertburgerzaken.nl/doc/351969",351969,"http://portal.xpertburgerzaken.nl/doc/265745",265745,"http://portal.xpertburgerzaken.nl/doc/351985",351985,"http://portal.xpertburgerzaken.nl/doc/351995",351995,"http://portal.xpertburgerzaken.nl/doc/310721",310721,"http://portal.xpertburgerzaken.nl/doc/265743",265743,"http://portal.xpertburgerzaken.nl/doc/265747",265747,"http://www.portal.xpertburgerzaken.nl/doc/268370",268370,"http://portal.xpertburgerzaken.nl/doc/338288",338288,
50,"Albanese",5034,"Albanië","Albanië (Republika e Shqipërisë)","http://portal.xpertburgerzaken.nl/doc/352027",352027,"http://portal.xpertburgerzaken.nl/doc/265758",265758,"http://portal.xpertburgerzaken.nl/doc/352043",352043,"http://portal.xpertburgerzaken.nl/doc/352053",352053,"http://portal.xpertburgerzaken.nl/doc/310724",310724,"http://portal.xpertburgerzaken.nl/doc/265756",265756,"http://portal.xpertburgerzaken.nl/doc/265760",265760,"http://portal.xpertburgerzaken.nl/doc/268437",268437,"www.xpertburgerzaken.nl/doc/338289",338289,
100,"Algerijnse",6047,"Algerije","Algerije","http://portal.xpertburgerzaken.nl/doc/352071",352071,"http://portal.xpertburgerzaken.nl/doc/265783",265783,"http://portal.xpertburgerzaken.nl/doc/352087",352087,"http://portal.xpertburgerzaken.nl/doc/352097",352097,"http://portal.xpertburgerzaken.nl/doc/310727",310727,"http://portal.xpertburgerzaken.nl/doc/265781",265781,"http://portal.xpertburgerzaken.nl/doc/265785",265785,"http://portal.xpertburgerzaken.nl/doc/268494",268494,"http://portal.xpertburgerzaken.nl/doc/338292",338292,
51,"Andorrese",7005,"Andorra","Andorra","http://portal.xpertburgerzaken.nl/doc/352115",352115,"http://portal.xpertburgerzaken.nl/doc/265770",265770,"http://portal.xpertburgerzaken.nl/doc/352132",352132,"http://portal.xpertburgerzaken.nl/doc/352142",352142,"http://portal.xpertburgerzaken.nl/doc/310732",310732,"http://portal.xpertburgerzaken.nl/doc/265764",265764,"http://portal.xpertburgerzaken.nl/doc/265772",265772,"http://portal.xpertburgerzaken.nl/doc/268558",268558,"http://portal.xpertburgerzaken.nl/doc/338293",338293,
101,"Angolese",5026,"Angola","Angola","http://portal.xpertburgerzaken.nl/doc/352160",352160,"http://portal.xpertburgerzaken.nl/doc/265796",265796,"http://portal.xpertburgerzaken.nl/doc/352176",352176,"http://portal.xpertburgerzaken.nl/doc/352186",352186,"http://portal.xpertburgerzaken.nl/doc/310735",310735,"http://portal.xpertburgerzaken.nl/doc/265794",265794,"http://portal.xpertburgerzaken.nl/doc/265798",265798,"http://portal.xpertburgerzaken.nl/doc/268653",268653,"http://portal.xpertburgerzaken.nl/doc/338294",338294,
421,"Burger van Antigua en Barbuda",8045,"Antigua en Barbuda","Antigua en Barbuda","http://portal.xpertburgerzaken.nl/doc/352204",352204,"http://portal.xpertburgerzaken.nl/doc/265809",265809,"http://portal.xpertburgerzaken.nl/doc/352221",352221,"http://portal.xpertburgerzaken.nl/doc/352231",352231,"http://portal.xpertburgerzaken.nl/doc/310739",310739,"http://portal.xpertburgerzaken.nl/doc/265807",265807,"http://portal.xpertburgerzaken.nl/doc/265811",265811,"http://portal.xpertburgerzaken.nl/doc/268744",268744,"http://portal.xpertburgerzaken.nl/doc/338295",338295,
250,"Argentijnse",7015,"Argentinië","Argentinië","http://portal.xpertburgerzaken.nl/doc/352253",352253,"http://portal.xpertburgerzaken.nl/doc/265822",265822,"http://portal.xpertburgerzaken.nl/doc/352269",352269,"http://portal.xpertburgerzaken.nl/doc/352279",352279,"http://portal.xpertburgerzaken.nl/doc/310741",310741,"http://portal.xpertburgerzaken.nl/doc/265815",265815,"http://portal.xpertburgerzaken.nl/doc/265824",265824,"http://portal.xpertburgerzaken.nl/doc/268807",268807,"http://portal.xpertburgerzaken.nl/doc/338296",338296,
40,"Burger van Armenië",5054,"Armenië","Armenië","http://portal.xpertburgerzaken.nl/doc/352297",352297,"http://portal.xpertburgerzaken.nl/doc/265835",265835,"http://portal.xpertburgerzaken.nl/doc/352313",352313,"http://portal.xpertburgerzaken.nl/doc/352323",352323,"http://portal.xpertburgerzaken.nl/doc/310744",310744,"http://portal.xpertburgerzaken.nl/doc/265833",265833,"http://portal.xpertburgerzaken.nl/doc/265837",265837,"http://portal.xpertburgerzaken.nl/doc/268858",268858,"http://portal.xpertburgerzaken.nl/doc/338297",338297,
1,"Nederlandse",5095,"Aruba","Aruba","http://portal.xpertburgerzaken.nl/doc/352342",352342,"http://portal.xpertburgerzaken.nl/doc/265848",265848,"http://portal.xpertburgerzaken.nl/doc/352358",265849,"http://portal.xpertburgerzaken.nl/doc/352368",352368,"http://portal.xpertburgerzaken.nl/doc/265849",265849,"http://portal.xpertburgerzaken.nl/doc/265846",265846,"http://portal.xpertburgerzaken.nl/doc/265850",265850,"http://portal.xpertburgerzaken.nl/doc/326482",326482,"x","x",
